color,bestColor,contrast,compliance
#007888,#ffffff,5.2,AA
#007890,#ffffff,5.14,AA
#007898,#ffffff,5.07,AA
#0078a0,#ffffff,5.01,AA
#0078a8,#ffffff,4.94,AA
#0078b0,#ffffff,4.87,AA
#0078b8,#ffffff,4.8,AA
#0078c0,#ffffff,4.72,AA
#0078c8,#ffffff,4.65,AA
#0078d0,#000000,4.6,AA
#0078d8,#000000,4.68,AA
#0078e0,#000000,4.76,AA
#0078e8,#000000,4.85,AA
#0078f0,#000000,4.94,AA
#0078f8,#000000,5.04,AA
#008000,#ffffff,5.14,AA
#008008,#ffffff,5.13,AA
#008010,#ffffff,5.13,AA
#008018,#ffffff,5.12,AA
#008020,#ffffff,5.11,AA
#008028,#ffffff,5.1,AA
#008030,#ffffff,5.08,AA
#008038,#ffffff,5.07,AA
#008040,#ffffff,5.05,AA
#008048,#ffffff,5.02,AA
#008050,#ffffff,5.0,AA
#008058,#ffffff,4.97,AA
#008060,#ffffff,4.93,AA
#008068,#ffffff,4.9,AA
#008070,#ffffff,4.86,AA
#008078,#ffffff,4.82,AA
#008080,#ffffff,4.77,AA
#008088,#ffffff,4.73,AA
#008090,#ffffff,4.68,AA
#008098,#ffffff,4.62,AA
#0080a0,#000000,4.6,AA
#0080a8,#000000,4.65,AA
#0080b0,#000000,4.71,AA
#0080b8,#000000,4.78,AA
#0080c0,#000000,4.85,AA
#0080c8,#000000,4.92,AA
#0080d0,#000000,5.0,AA
#0080d8,#000000,5.08,AA
#0080e0,#000000,5.16,AA
#0080e8,#000000,5.25,AA
#0080f0,#000000,5.35,AA
#0080f8,#000000,5.44,AA
#008800,#ffffff,4.64,AA
#008808,#ffffff,4.64,AA
#008810,#ffffff,4.64,AA
#008818,#ffffff,4.63,AA
#008820,#ffffff,4.62,AA
#008828,#ffffff,4.61,AA
#008830,#ffffff,4.6,AA
#008838,#ffffff,4.59,AA
#008840,#000000,4.6,AA
#008848,#000000,4.62,AA
#008850,#000000,4.64,AA
#008858,#000000,4.66,AA
#008860,#000000,4.69,AA
#008868,#000000,4.72,AA
#008870,#000000,4.76,AA
#008878,#000000,4.79,AA
#008880,#000000,4.83,AA
#008888,#000000,4.88,AA
#008890,#000000,4.92,AA
#008898,#000000,4.98,AA
#0088a0,#000000,5.03,AA
#0088a8,#000000,5.09,AA
#0088b0,#000000,5.15,AA
#0088b8,#000000,5.21,AA
#0088c0,#000000,5.28,AA
#0088c8,#000000,5.36,AA
#0088d0,#000000,5.43,AA
