color,bestColor,contrast,compliance
#005010,#ffff00,9.07,AAA
#005018,#ffff00,9.05,AAA
#005020,#ffff00,9.02,AAA
#005028,#ffff00,8.98,AAA
#005030,#ffff00,8.93,AAA
#005038,#ffff00,8.87,AAA
#005040,#ffff00,8.8,AAA
#005048,#ffff00,8.73,AAA
#005050,#ffff00,8.64,AAA
#005058,#ffff00,8.55,AAA
#005060,#ffff00,8.44,AAA
#005068,#ffff00,8.33,AAA
#005070,#ffff00,8.21,AAA
#005078,#ffff00,8.09,AAA
#005080,#ffff00,7.95,AAA
#005088,#ffff00,7.81,AAA
#005090,#ffff00,7.67,AAA
#005098,#ffff00,7.52,AAA
#0050a0,#ffff00,7.37,AAA
#0050a8,#ffff00,7.21,AAA
#0050b0,#ffff00,7.05,AAA
#0050b8,#ffff00,6.89,AA
#0050c0,#ffff00,6.72,AA
#0050c8,#ffff00,6.56,AA
#0050d0,#ffff00,6.39,AA
#0050d8,#ffff00,6.23,AA
#0050e0,#ffff00,6.07,AA
#0050e8,#ffff00,5.9,AA
#0050f0,#ffff00,5.74,AA
#0050f8,#ffff00,5.58,AA
#005800,#ffff00,8.16,AAA
#005808,#ffff00,8.15,AAA
#005810,#ffff00,8.14,AAA
#005818,#ffff00,8.12,AAA
#005820,#ffff00,8.09,AAA
#005828,#ffff00,8.06,AAA
#005830,#ffff00,8.02,AAA
#005838,#ffff00,7.97,AAA
#005840,#ffff00,7.92,AAA
#005848,#ffff00,7.86,AAA
#005850,#ffff00,7.79,AAA
#005858,#ffff00,7.71,AAA
#005860,#ffff00,7.62,AAA
#005868,#ffff00,7.53,AAA
#005870,#ffff00,7.44,AAA
#005878,#ffff00,7.33,AAA
#005880,#ffff00,7.22,AAA
#005888,#ffff00,7.11,AAA
#005890,#ffff00,6.99,AA
#005898,#ffff00,6.86,AA
#0058a0,#ffff00,6.74,AA
#0058a8,#ffff00,6.6,AA
#0058b0,#ffff00,6.47,AA
#0058b8,#ffff00,6.33,AA
#0058c0,#ffff00,6.19,AA
#0058c8,#ffff00,6.05,AA
#0058d0,#ffff00,5.91,AA
#0058d8,#ffff00,5.77,AA
#0058e0,#ffff00,5.63,AA
#0058e8,#ffff00,5.49,AA
#0058f0,#ffff00,5.35,AA
#0058f8,#ffff00,5.21,AA
#006000,#ffff00,7.32,AAA
#006008,#ffff00,7.31,AAA
#006010,#ffff00,7.3,AAA
#006018,#ffff00,7.28,AAA
#006020,#ffff00,7.26,AAA
#006028,#ffff00,7.23,AAA
#006030,#ffff00,7.2,AAA
#006038,#ffff00,7.16,AAA
#006040,#ffff00,7.12,AAA
#006048,#ffff00,7.07,AAA
#006050,#ffff00,7.01,AAA
#006058,#ffff00,6.95,AA
#006060,#ffff00,6.88,AA
#006068,#ffff00,6.81,AA
#006070,#ffff00,6.73,AA
#006078,#ffff00,6.64,AA
#006080,#ffff00,6.55,AA
#006088,#ffff00,6.46,AA
