color,bestColor,contrast,compliance
#a040e0,#ffa500,2.47,None
#a06000,#ffa500,2.55,None
#a06020,#ffa500,2.54,None
#a06040,#ffa500,2.51,None
#a06060,#ffa500,2.45,None
#a06080,#ffa500,2.37,None
#a060a0,#ffa500,2.27,None
#a060c0,#800080,2.21,None
#a060e0,#800080,2.35,None
#a08000,#800080,2.5,None
#a08020,#800080,2.51,None
#a08040,#800080,2.54,None
#a08060,#800080,2.58,None
#a08080,#800080,2.64,None
#a080a0,#800080,2.73,None
#a080c0,#800080,2.85,None
#a080e0,#800080,2.99,None
#a0a000,#800080,3.37,None
#a0a020,#800080,3.38,None
#a0a040,#800080,3.41,None
#a0a060,#800080,3.45,None
#a0a080,#800080,3.51,None
#a0a0a0,#800080,3.6,None
#a0a0c0,#800080,3.72,None
#a0a0e0,#800080,3.86,None
#a0c000,#800080,4.5,AA
#a0c020,#800080,4.51,AA
#a0c040,#800080,4.53,AA
#a0c060,#800080,4.58,AA
#a0c080,#800080,4.64,AA
#a0c0a0,#800080,4.73,AA
#a0c0c0,#800080,4.84,AA
#a0c0e0,#800080,4.98,AA
#a0e000,#800080,5.9,AA
#a0e020,#800080,5.91,AA
#a0e040,#800080,5.93,AA
#a0e060,#800080,5.98,AA
#a0e080,#800080,6.04,AA
#a0e0a0,#800080,6.13,AA
#a0e0c0,#800080,6.24,AA
#a0e0e0,#800080,6.38,AA
#c00000,#ffa500,3.28,None
#c00020,#ffa500,3.26,None
#c00040,#ffa500,3.21,None
#c00060,#ffa500,3.12,None
#c00080,#ffa500,2.99,None
#c000a0,#ffa500,2.84,None
#c000c0,#ffa500,2.66,None
#c000e0,#ffa500,2.46,None
#c02000,#ffa500,3.08,None
#c02020,#ffa500,3.07,None
#c02040,#ffa500,3.02,None
#c02060,#ffa500,2.94,None
#c02080,#ffa500,2.83,None
#c020a0,#ffa500,2.69,None
#c020c0,#ffa500,2.53,None
#c020e0,#ffa500,2.35,None
#c04000,#ffa500,2.68,None
#c04020,#ffa500,2.66,None
#c04040,#ffa500,2.63,None
#c04060,#ffa500,2.57,None
#c04080,#ffa500,2.48,None
#c040a0,#ffa500,2.37,None
#c040c0,#ffa500,2.25,None
#c040e0,#800080,2.27,None
#c06000,#800080,2.2,None
#c06020,#800080,2.21,None
#c06040,#800080,2.24,None
#c06060,#800080,2.28,None
#c06080,#800080,2.34,None
#c060a0,#800080,2.43,None
#c060c0,#800080,2.55,None
#c060e0,#800080,2.69,None
#c08000,#800080,2.84,None
#c08020,#800080,2.85,None
#c08040,#800080,2.87,None
#c08060,#800080,2.91,None
#c08080,#800080,2.98,None
#c080a0,#800080,3.07,None
#c080c0,#800080,3.18,None
#c080e0,#800080,3.32,None
#c0a000,#800080,3.71,None
#c0a020,#800080,3.72,None
#c0a040,#800080,3.74,None
#c0a060,#800080,3.78,None
#c0a080,#800080,3.85,None
#c0a0a0,#800080,3.94,None
#c0a0c0,#800080,4.05,None
#c0a0e0,#800080,4.19,None
#c0c000,#800080,4.84,AA
#c0c020,#800080,4.84,AA
#c0c040,#800080,4.87,AA
#c0c060,#800080,4.91,AA
#c0c080,#800080,4.98,AA
#c0c0a0,#800080,5.06,AA
#c0c0c0,#800080,5.18,AA
#c0c0e0,#800080,5.32,AA
#c0e000,#800080,6.24,AA
#c0e020,#800080,6.25,AA
#c0e040,#800080,6.27,AA
#c0e060,#800080,6.31,AA
#c0e080,#800080,6.38,AA
#c0e0a0,#800080,6.46,AA
#c0e0c0,#800080,6.58,AA
#c0e0e0,#800080,6.72,AA
#e00000,#ffa500,2.55,None
#e00020,#ffa500,2.54,None
#e00040,#ffa500,2.51,None
#e00060,#ffa500,2.45,None
#e00080,#ffa500,2.37,None
#e000a0,#ffa500,2.27,None
#e000c0,#800080,2.21,None
#e000e0,#800080,2.35,None
#e02000,#ffa500,2.43,None
#e02020,#ffa500,2.42,None
#e02040,#ffa500,2.39,None
#e02060,#ffa500,2.34,None
#e02080,#ffa500,2.27,None
#e020a0,#800080,2.19,None
#e020c0,#800080,2.3,None
#e020e0,#800080,2.45,None
#e04000,#800080,2.2,None
#e04020,#800080,2.21,None
#e04040,#800080,2.23,None
#e04060,#800080,2.27,None
#e04080,#800080,2.34,None
#e040a0,#800080,2.43,None
#e040c0,#800080,2.54,None
#e040e0,#800080,2.68,None
#e06000,#800080,2.62,None
#e06020,#800080,2.63,None
#e06040,#800080,2.65,None
#e06060,#800080,2.7,None
#e06080,#800080,2.76,None
#e060a0,#800080,2.85,None
#e060c0,#800080,2.96,None
#e060e0,#800080,3.1,None
#e08000,#800080,3.25,None
#e08020,#800080,3.26,None
#e08040,#800080,3.29,None
#e08060,#800080,3.33,None
#e08080,#800080,3.39,None
#e080a0,#800080,3.48,None
#e080c0,#800080,3.6,None
#e080e0,#800080,3.74,None
#e0a000,#800080,4.13,None
#e0a020,#800080,4.13,None
#e0a040,#800080,4.16,None
#e0a060,#800080,4.2,None
#e0a080,#800080,4.27,None
#e0a0a0,#800080,4.35,None
#e0a0c0,#800080,4.47,None
#e0a0e0,#800080,4.61,AA
#e0c000,#800080,5.25,AA
#e0c020,#800080,5.26,AA
#e0c040,#800080,5.29,AA
#e0c060,#800080,5.33,AA
#e0c080,#800080,5.39,AA
#e0c0a0,#800080,5.48,AA
#e0c0c0,#800080,5.59,AA
#e0c0e0,#800080,5.73,AA
#e0e000,#800080,6.65,AA
#e0e020,#800080,6.66,AA
#e0e040,#800080,6.69,AA
#e0e060,#800080,6.73,AA
#e0e080,#800080,6.79,AA
#e0e0a0,#800080,6.88,AA
#e0e0c0,#800080,6.99,AA
#e0e0e0,#800080,7.14,AAA
