color,bestColor,contrast,compliance
#10e0f0,#800080,5.81,AA
#10f000,#800080,6.05,AA
#10f010,#800080,6.05,AA
#10f020,#800080,6.06,AA
#10f030,#800080,6.07,AA
#10f040,#800080,6.08,AA
#10f050,#800080,6.1,AA
#10f060,#800080,6.12,AA
#10f070,#800080,6.15,AA
#10f080,#800080,6.19,AA
#10f090,#800080,6.23,AA
#10f0a0,#800080,6.28,AA
#10f0b0,#800080,6.33,AA
#10f0c0,#800080,6.39,AA
#10f0d0,#800080,6.46,AA
#10f0e0,#800080,6.53,AA
#10f0f0,#800080,6.61,AA
#200000,#ffa500,10.02,AAA
#200010,#ffa500,9.95,AAA
#200020,#ffa500,9.83,AAA
#200030,#ffa500,9.63,AAA
#200040,#ffa500,9.37,AAA
#200050,#ffa500,9.03,AAA
#200060,#ffa500,8.64,AAA
#200070,#ffa500,8.21,AAA
#200080,#ffa500,7.74,AAA
#200090,#ffa500,7.26,AAA
#2000a0,#ffa500,6.78,AA
#2000b0,#ffa500,6.3,AA
#2000c0,#ffa500,5.83,AA
#2000d0,#ffa500,5.39,AA
#2000e0,#ffa500,4.97,AA
#2000f0,#ffa500,4.58,AA
#201000,#ffa500,9.36,AAA
#201010,#ffa500,9.3,AAA
#201020,#ffa500,9.2,AAA
#201030,#ffa500,9.03,AAA
#201040,#ffa500,8.79,AAA
#201050,#ffa500,8.5,AAA
#201060,#ffa500,8.15,AAA
#201070,#ffa500,7.76,AAA
#201080,#ffa500,7.35,AAA
#201090,#ffa500,6.91,AA
#2010a0,#ffa500,6.47,AA
#2010b0,#ffa500,6.03,AA
#2010c0,#ffa500,5.61,AA
#2010d0,#ffa500,5.2,AA
#2010e0,#ffa500,4.81,AA
#2010f0,#ffa500,4.44,None
#202000,#ffa500,8.39,AAA
#202010,#ffa500,8.34,AAA
#202020,#ffa500,8.25,AAA
#202030,#ffa500,8.11,AAA
#202040,#ffa500,7.92,AAA
#202050,#ffa500,7.68,AAA
#202060,#ffa500,7.4,AAA
#202070,#ffa500,7.08,AAA
#202080,#ffa500,6.73,AA
#202090,#ffa500,6.36,AA
#2020a0,#ffa500,5.99,AA
#2020b0,#ffa500,5.61,AA
#2020c0,#ffa500,5.24,AA
#2020d0,#ffa500,4.88,AA
#2020e0,#ffa500,4.54,AA
