color,bestColor,contrast,compliance
#10b0f0,#000000,8.49,AAA
#10c000,#000000,8.56,AAA
#10c010,#000000,8.57,AAA
#10c020,#000000,8.58,AAA
#10c030,#000000,8.6,AAA
#10c040,#000000,8.64,AAA
#10c050,#000000,8.68,AAA
#10c060,#000000,8.73,AAA
#10c070,#000000,8.8,AAA
#10c080,#000000,8.87,AAA
#10c090,#000000,8.96,AAA
#10c0a0,#000000,9.07,AAA
#10c0b0,#000000,9.19,AAA
#10c0c0,#000000,9.32,AAA
#10c0d0,#000000,9.47,AAA
#10c0e0,#000000,9.64,AAA
#10c0f0,#000000,9.82,AAA
#10d000,#000000,10.04,AAA
#10d010,#000000,10.05,AAA
#10d020,#000000,10.07,AAA
#10d030,#000000,10.09,AAA
#10d040,#000000,10.12,AAA
#10d050,#000000,10.16,AAA
#10d060,#000000,10.21,AAA
#10d070,#000000,10.28,AAA
#10d080,#000000,10.36,AAA
#10d090,#000000,10.45,AAA
#10d0a0,#000000,10.55,AAA
#10d0b0,#000000,10.67,AAA
#10d0c0,#000000,10.81,AAA
#10d0d0,#000000,10.96,AAA
#10d0e0,#000000,11.12,AAA
#10d0f0,#000000,11.3,AAA
#10e000,#000000,11.68,AAA
#10e010,#000000,11.69,AAA
#10e020,#000000,11.71,AAA
#10e030,#000000,11.73,AAA
#10e040,#000000,11.76,AAA
#10e050,#000000,11.8,AAA
#10e060,#000000,11.85,AAA
#10e070,#000000,11.92,AAA
#10e080,#000000,12.0,AAA
#10e090,#000000,12.09,AAA
#10e0a0,#000000,12.19,AAA
#10e0b0,#000000,12.31,AAA
#10e0c0,#000000,12.45,AAA
#10e0d0,#000000,12.6,AAA
#10e0e0,#000000,12.76,AAA
#10e0f0,#000000,12.94,AAA
#10f000,#000000,13.49,AAA
#10f010,#000000,13.49,AAA
#10f020,#000000,13.51,AAA
#10f030,#000000,13.53,AAA
#10f040,#000000,13.56,AAA
#10f050,#000000,13.6,AAA
#10f060,#000000,13.65,AAA
#10f070,#000000,13.72,AAA
#10f080,#000000,13.8,AAA
#10f090,#000000,13.89,AAA
#10f0a0,#000000,13.99,AAA
#10f0b0,#000000,14.11,AAA
#10f0c0,#000000,14.25,AAA
#10f0d0,#000000,14.4,AAA
#10f0e0,#000000,14.56,AAA
#10f0f0,#000000,14.74,AAA
#200000,#ffffff,19.78,AAA
#200010,#ffffff,19.65,AAA
#200020,#ffffff,19.4,AAA
#200030,#ffffff,19.02,AAA
#200040,#ffffff,18.49,AAA
#200050,#ffffff,17.84,AAA
#200060,#ffffff,17.07,AAA
#200070,#ffffff,16.21,AAA
#200080,#ffffff,15.29,AAA
#200090,#ffffff,14.34,AAA
#2000a0,#ffffff,13.38,AAA
#2000b0,#ffffff,12.44,AAA
#2000c0,#ffffff,11.52,AAA
#2000d0,#ffffff,10.65,AAA
#2000e0,#ffffff,9.82,AAA
#2000f0,#ffffff,9.05,AAA
#201000,#ffffff,18.49,AAA
#201010,#ffffff,18.37,AAA
#201020,#ffffff,18.16,AAA
#201030,#ffffff,17.82,AAA
#201040,#ffffff,17.36,AAA
#201050,#ffffff,16.78,AAA
#201060,#ffffff,16.1,AAA
#201070,#ffffff,15.33,AAA
#201080,#ffffff,14.51,AAA
#201090,#ffffff,13.65,AAA
#2010a0,#ffffff,12.78,AAA
#2010b0,#ffffff,11.92,AAA
#2010c0,#ffffff,11.07,AAA
#2010d0,#ffffff,10.26,AAA
#2010e0,#ffffff,9.49,AAA
#2010f0,#ffffff,8.77,AAA
#202000,#ffffff,16.56,AAA
#202010,#ffffff,16.46,AAA
#202020,#ffffff,16.29,AAA
#202030,#ffffff,16.02,AAA
#202040,#ffffff,15.65,AAA
#202050,#ffffff,15.17,AAA
#202060,#ffffff,14.61,AAA
#202070,#ffffff,13.98,AAA
#202080,#ffffff,13.29,AAA
#202090,#ffffff,12.57,AAA
#2020a0,#ffffff,11.83,AAA
#2020b0,#ffffff,11.08,AAA
#2020c0,#ffffff,10.35,AAA
#2020d0,#ffffff,9.64,AAA
#2020e0,#ffffff,8.96,AAA
#2020f0,#ffffff,8.31,AAA
#203000,#ffffff,14.15,AAA
#203010,#ffffff,14.08,AAA
#203020,#ffffff,13.95,AAA
#203030,#ffffff,13.75,AAA
#203040,#ffffff,13.48,AAA
#203050,#ffffff,13.12,AAA
#203060,#ffffff,12.7,AAA
#203070,#ffffff,12.22,AAA
#203080,#ffffff,11.69,AAA
#203090,#ffffff,11.13,AAA
#2030a0,#ffffff,10.54,AAA
#2030b0,#ffffff,9.95,AAA
#2030c0,#ffffff,9.35,AAA
#2030d0,#ffffff,8.77,AAA
#2030e0,#ffffff,8.2,AAA
#2030f0,#ffffff,7.66,AAA
#204000,#ffffff,11.7,AAA
#204010,#ffffff,11.65,AAA
#204020,#ffffff,11.57,AAA
#204030,#ffffff,11.43,AAA
#204040,#ffffff,11.24,AAA
#204050,#ffffff,10.99,AAA
#204060,#ffffff,10.69,AAA
#204070,#ffffff,10.35,AAA
#204080,#ffffff,9.97,AAA
#204090,#ffffff,9.56,AAA
#2040a0,#ffffff,9.12,AAA
#2040b0,#ffffff,8.67,AAA
#2040c0,#ffffff,8.22,AAA
#2040d0,#ffffff,7.76,AAA
#2040e0,#ffffff,7.31,AAA
#2040f0,#ffffff,6.88,AA
#205000,#ffffff,9.51,AAA
#205010,#ffffff,9.47,AAA
#205020,#ffffff,9.42,AAA
#205030,#ffffff,9.33,AAA
#205040,#ffffff,9.2,AAA
#205050,#ffffff,9.03,AAA
#205060,#ffffff,8.83,AAA
#205070,#ffffff,8.6,AAA
#205080,#ffffff,8.33,AAA
#205090,#ffffff,8.04,AAA
#2050a0,#ffffff,7.73,AAA
#2050b0,#ffffff,7.41,AAA
#2050c0,#ffffff,7.07,AAA
#2050d0,#ffffff,6.73,AA
#2050e0,#ffffff,6.39,AA
#2050f0,#ffffff,6.06,AA
#206000,#ffffff,7.68,AAA
#206010,#ffffff,7.66,AAA
#206020,#ffffff,7.62,AAA
#206030,#ffffff,7.56,AAA
#206040,#ffffff,7.48,AAA
#206050,#ffffff,7.37,AAA
#206060,#ffffff,7.23,AAA
#206070,#ffffff,7.07,AAA
#206080,#ffffff,6.89,AA
#206090,#ffffff,6.69,AA
#2060a0,#ffffff,6.48,AA
#2060b0,#ffffff,6.25,AA
#2060c0,#ffffff,6.01,AA
#2060d0,#ffffff,5.76,AA
#2060e0,#ffffff,5.51,AA
#2060f0,#ffffff,5.26,AA
#207000,#ffffff,6.21,AA
#207010,#ffffff,6.2,AA
#207020,#ffffff,6.18,AA
#207030,#ffffff,6.14,AA
#207040,#ffffff,6.08,AA
#207050,#ffffff,6.01,AA
#207060,#ffffff,5.92,AA
#207070,#ffffff,5.81,AA
#207080,#ffffff,5.69,AA
#207090,#ffffff,5.55,AA
#2070a0,#ffffff,5.4,AA
#2070b0,#ffffff,5.24,AA
#2070c0,#ffffff,5.07,AA
#2070d0,#ffffff,4.9,AA
#2070e0,#ffffff,4.71,AA
#2070f0,#000000,4.64,AA
#208000,#ffffff,5.06,AA
#208010,#ffffff,5.05,AA
#208020,#ffffff,5.04,AA
#208030,#ffffff,5.01,AA
#208040,#ffffff,4.97,AA
#208050,#ffffff,4.92,AA
#208060,#ffffff,4.86,AA
#208070,#ffffff,4.79,AA
#208080,#ffffff,4.71,AA
#208090,#ffffff,4.61,AA
#2080a0,#000000,4.66,AA
#2080b0,#000000,4.78,AA
#2080c0,#000000,4.91,AA
#2080d0,#000000,5.06,AA
#2080e0,#000000,5.23,AA
#2080f0,#000000,5.41,AA
#209000,#000000,5.05,AA
#209010,#000000,5.06,AA
#209020,#000000,5.07,AA
#209030,#000000,5.09,AA
#209040,#000000,5.12,AA
#209050,#000000,5.17,AA
#209060,#000000,5.22,AA
#209070,#000000,5.28,AA
#209080,#000000,5.36,AA
#209090,#000000,5.45,AA
#2090a0,#000000,5.56,AA
#2090b0,#000000,5.68,AA
#2090c0,#000000,5.81,AA
#2090d0,#000000,5.96,AA
#2090e0,#000000,6.13,AA
#2090f0,#000000,6.31,AA
#20a000,#000000,6.09,AA
#20a010,#000000,6.1,AA
#20a020,#000000,6.11,AA
#20a030,#000000,6.13,AA
#20a040,#000000,6.16,AA
#20a050,#000000,6.21,AA
#20a060,#000000,6.26,AA
#20a070,#000000,6.32,AA
#20a080,#000000,6.4,AA
#20a090,#000000,6.49,AA
#20a0a0,#000000,6.6,AA
#20a0b0,#000000,6.72,AA
#20a0c0,#000000,6.85,AA
#20a0d0,#000000,7.0,AAA
#20a0e0,#000000,7.17,AAA
#20a0f0,#000000,7.35,AAA
#20b000,#000000,7.27,AAA
#20b010,#000000,7.28,AAA
#20b020,#000000,7.29,AAA
#20b030,#000000,7.31,AAA
#20b040,#000000,7.35,AAA
#20b050,#000000,7.39,AAA
#20b060,#000000,7.44,AAA
#20b070,#000000,7.51,AAA
#20b080,#000000,7.58,AAA
#20b090,#000000,7.67,AAA
#20b0a0,#000000,7.78,AAA
#20b0b0,#000000,7.9,AAA
#20b0c0,#000000,8.03,AAA
#20b0d0,#000000,8.18,AAA
#20b0e0,#000000,8.35,AAA
#20b0f0,#000000,8.53,AAA
#20c000,#000000,8.6,AAA
#20c010,#000000,8.61,AAA
#20c020,#000000,8.62,AAA
#20c030,#000000,8.64,AAA
#20c040,#000000,8.68,AAA
#20c050,#000000,8.72,AAA
#20c060,#000000,8.77,AAA
#20c070,#000000,8.84,AAA
#20c080,#000000,8.91,AAA
#20c090,#000000,9.0,AAA
#20c0a0,#000000,9.11,AAA
#20c0b0,#000000,9.23,AAA
#20c0c0,#000000,9.36,AAA
#20c0d0,#000000,9.51,AAA
#20c0e0,#000000,9.68,AAA
#20c0f0,#000000,9.86,AAA
